0.25,3649.10,4504.20,9.40,26.95,42.06,2705.00,76.20,120.39,0.34,80.13,49.52,2633.70,25.93,49.43,3101.90,22.19,65.75,230.78,341.21,94.61,77.21,32.19,8.89,26.38,6.88,18.78,1.66,32.96,13.82,23.98,1.26,18.58,2.26,4.84,2.30,0.02,0.84,0.10,53.72,43.83,63.31,54.04,24.60,60.36,22.14,40.07,36.70,45.22,47.40,41.04,19.92
0.25,3660.40,4479.90,9.30,26.95,42.40,2704.40,73.91,120.41,0.34,80.11,48.62,2632.60,25.57,51.51,3101.70,22.90,65.74,229.26,341.28,94.50,77.40,32.19,8.89,26.38,6.88,18.78,1.66,32.96,13.82,23.98,1.26,18.58,2.26,4.84,2.30,0.02,0.84,0.10,53.72,43.83,63.12,54.33,24.72,61.87,21.95,40.25,34.03,50.03,47.54,41.26,18.23
0.25,3658.80,4485.30,9.34,27.06,42.33,2704.30,75.27,120.43,0.34,80.11,50.50,2633.20,26.06,49.90,3101.20,22.71,65.74,230.85,341.46,94.81,77.40,32.24,8.89,26.25,6.98,18.79,1.65,33.47,13.72,24.13,1.24,18.78,2.25,4.92,2.32,0.02,0.84,0.10,53.72,43.83,63.14,54.27,24.74,62.65,22.34,40.18,39.56,46.31,47.40,41.67,18.68
0.25,3655.20,4481.00,9.45,26.92,42.61,2703.00,74.96,120.38,0.34,80.02,49.03,2631.40,25.34,49.90,3100.60,23.33,65.75,228.96,341.33,94.51,76.99,32.24,8.89,26.25,6.98,18.79,1.65,33.47,13.72,24.13,1.24,18.78,2.25,4.92,2.32,0.02,0.84,0.10,53.72,43.83,63.20,54.32,24.57,60.12,22.13,40.12,35.24,46.30,47.56,40.66,17.25
0.24,3651.40,4533.10,9.29,27.11,42.36,2703.00,75.28,120.40,0.32,79.92,50.51,2631.30,24.05,49.42,3098.80,22.49,65.70,229.84,341.70,94.79,76.99,32.00,8.92,26.06,6.97,18.90,1.64,32.63,13.69,24.09,1.34,18.56,2.21,4.85,2.32,0.02,0.84,0.10,53.72,43.83,62.37,53.67,24.32,61.31,22.30,38.76,39.60,45.19,47.49,41.32,19.25
0.25,3639.70,4515.50,9.32,26.94,42.27,2704.50,75.28,120.41,0.32,80.09,49.62,2632.80,24.26,50.10,3100.60,22.66,65.68,229.42,341.71,94.58,77.17,32.00,8.92,26.06,6.97,18.90,1.64,32.63,13.69,24.09,1.34,18.56,2.21,4.85,2.32,0.01,0.83,0.10,53.81,44.27,62.57,53.88,24.08,62.19,22.27,38.88,36.99,46.77,47.53,41.18,18.84
0.27,3626.70,4517.80,9.47,26.91,42.43,2706.40,74.81,120.38,0.32,80.11,49.64,2635.50,25.67,50.24,3102.40,22.33,65.67,231.53,341.82,94.68,77.43,32.50,8.90,26.47,6.97,19.12,1.72,33.55,13.90,23.76,1.35,18.04,2.26,4.84,2.29,0.01,0.83,0.10,53.81,44.27,62.79,53.55,26.52,60.09,22.61,37.98,37.04,47.10,47.34,40.51,19.58
0.27,3627.80,4474.30,9.22,26.92,42.15,2708.60,75.06,120.44,0.32,80.14,48.33,2637.60,26.30,48.99,3105.50,23.32,65.72,231.18,341.63,94.65,77.63,32.50,8.90,26.47,6.97,19.12,1.72,33.55,13.90,23.76,1.35,18.04,2.26,4.84,2.29,0.01,0.83,0.10,53.81,44.27,62.77,54.07,26.55,62.64,22.54,38.29,33.19,44.18,47.38,41.81,17.22
0.22,3635.00,4499.90,9.32,27.01,42.73,2709.40,74.86,120.39,0.34,80.26,48.59,2639.00,25.56,48.73,3104.80,22.08,65.70,228.59,342.18,94.66,77.42,32.07,8.89,26.23,7.07,18.72,1.65,33.19,13.83,24.05,1.10,18.58,2.24,4.99,2.31,0.01,0.83,0.10,53.81,44.27,62.56,53.20,21.70,62.96,22.66,40.96,33.96,43.60,47.61,40.63,20.18
0.22,3623.40,4495.90,9.29,26.94,42.31,2705.20,75.50,120.39,0.34,79.85,51.34,2633.40,25.05,48.63,3103.20,23.47,65.70,231.28,341.81,94.73,77.17,32.07,8.89,26.23,7.07,18.72,1.65,33.19,13.83,24.05,1.10,18.58,2.24,4.99,2.31,0.01,0.83,0.10,53.81,44.27,62.76,53.24,21.75,60.40,22.14,41.16,42.04,43.37,47.37,40.82,16.91
0.26,3607.80,4500.40,9.40,27.04,42.10,2708.30,73.55,120.39,0.34,80.00,50.09,2636.70,24.24,50.06,3103.80,23.09,65.64,231.36,342.21,94.75,77.51,32.27,8.88,26.38,6.81,19.09,1.67,32.97,13.88,24.21,1.22,18.34,2.27,4.87,2.37,0.02,0.83,0.11,54.01,43.79,61.99,54.14,25.72,60.59,22.73,39.89,38.38,46.68,47.26,40.41,17.79
0.26,3648.90,4500.60,9.33,26.86,42.17,2711.70,75.03,120.39,0.34,80.17,50.94,2640.70,24.46,49.84,3108.50,23.03,65.68,230.63,342.13,94.79,77.88,32.27,8.88,26.38,6.81,19.09,1.67,32.97,13.88,24.21,1.22,18.34,2.27,4.87,2.37,0.02,0.83,0.11,54.01,43.79,61.28,54.14,25.79,61.12,22.50,39.93,40.85,46.16,47.27,41.33,17.90
0.24,3701.10,4492.50,9.38,26.86,42.48,2713.40,75.39,120.40,0.34,80.28,49.74,2642.70,23.70,49.94,3109.00,22.04,65.70,231.68,342.71,94.61,77.88,32.18,8.92,26.25,6.87,18.78,1.65,33.05,13.63,24.06,1.18,18.26,2.26,4.82,2.31,0.02,0.83,0.11,54.01,43.79,62.63,53.31,23.78,63.69,22.88,40.86,37.33,46.39,47.13,40.84,20.23
0.24,3661.90,4494.10,9.51,26.96,41.92,2713.10,74.23,120.45,0.34,80.20,48.31,2642.10,23.85,48.17,3109.90,22.02,65.74,227.39,342.49,94.60,77.59,32.18,8.92,26.25,6.87,18.78,1.65,33.05,13.63,24.06,1.18,18.26,2.26,4.82,2.31,0.02,0.83,0.11,54.01,43.79,63.30,53.29,23.87,60.81,22.68,40.83,33.12,42.31,47.46,41.67,20.27
0.25,3675.80,4510.10,9.44,26.81,42.67,2711.50,75.09,120.38,0.32,79.98,52.07,2641.10,25.63,50.19,3107.20,22.09,65.72,231.89,342.62,94.42,76.70,32.01,8.79,26.49,6.69,18.53,1.68,33.10,13.85,23.94,1.27,18.92,2.26,4.76,2.31,0.02,0.83,0.11,54.01,43.79,62.61,53.85,24.68,62.60,22.86,37.07,44.19,46.97,47.01,40.74,20.19
0.25,3686.10,4498.50,9.35,26.56,42.15,2708.90,74.45,120.39,0.32,79.59,50.55,2637.90,25.63,50.99,3104.10,23.74,65.61,228.42,343.04,94.78,76.72,32.01,8.79,26.49,6.69,18.53,1.68,33.10,13.85,23.94,1.27,18.92,2.26,4.76,2.31,0.01,0.84,0.07,53.83,43.67,62.43,53.98,24.62,61.17,22.20,37.33,39.71,48.83,47.19,40.71,16.30
0.27,3709.70,4541.90,9.38,27.28,42.56,2710.10,74.59,120.40,0.34,79.60,49.73,2638.50,25.62,49.74,3105.90,22.56,65.51,229.18,342.94,94.48,77.13,32.62,8.85,26.52,6.79,18.35,1.65,33.33,13.80,24.02,1.27,18.18,2.21,4.81,2.27,0.01,0.84,0.07,53.83,43.67,63.70,54.09,26.33,62.58,22.66,40.38,37.30,45.94,47.04,42.13,19.10
