0.25	3674.20	4556.10	9.30	26.85	42.26	2704.30	75.63	120.39	0.34	80.14	50.13	2632.90	25.35	50.33	3102.00	22.49	65.76	228.70	341.38	94.55	77.37	32.19	8.89	26.38	6.88	18.78	1.66	32.96	13.82	23.98	1.26	18.58	2.26	4.84	2.30	0.02	0.84	0.10	53.72	43.83	62.88	53.42	24.70	59.82	21.99	39.90	38.48	47.29	47.59	41.66	19.20
0.25	3684.30	4535.50	9.49	26.66	42.13	2705.00	75.10	120.40	0.34	80.16	48.76	2633.80	27.32	53.07	3101.70	22.69	65.76	230.64	341.49	94.64	77.34	32.19	8.89	26.38	6.88	18.78	1.66	32.96	13.82	23.98	1.26	18.58	2.26	4.84	2.30	0.02	0.84	0.10	53.72	43.83	62.70	53.67	24.69	60.02	21.98	39.89	34.44	53.63	47.41	41.04	18.72
0.25	3650.60	4497.60	9.32	26.68	42.57	2704.00	75.89	120.38	0.34	80.12	48.99	2633.20	24.69	49.48	3101.90	22.23	65.74	229.55	341.41	94.59	77.22	31.87	8.93	26.04	6.97	18.68	1.70	32.97	13.84	23.79	1.35	18.99	2.28	4.78	2.33	0.02	0.84	0.10	53.72	43.83	63.28	54.12	24.71	60.93	21.94	40.02	35.13	45.32	47.51	41.02	19.82
0.25	3704.30	4538.00	9.36	27.04	42.18	2704.20	75.17	120.42	0.33	80.08	51.31	2632.30	24.99	50.84	3101.50	22.89	65.73	230.34	341.19	94.63	77.40	31.87	8.93	26.04	6.97	18.68	1.70	32.97	13.84	23.79	1.35	18.99	2.28	4.78	2.33	0.02	0.84	0.10	53.72	43.83	62.36	53.64	24.69	61.27	22.13	40.36	41.97	48.49	47.44	41.68	18.24
0.28	3607.80	4550.00	9.29	27.09	42.25	2705.40	73.98	120.38	0.34	80.10	51.54	2634.30	26.68	49.14	3101.50	22.26	65.74	230.46	341.58	94.72	77.49	32.51	8.93	26.42	6.93	18.69	1.62	32.98	13.79	23.70	1.11	18.68	2.28	4.85	2.27	0.02	0.84	0.10	53.72	43.83	63.21	53.73	27.58	62.28	22.39	39.93	42.63	44.54	47.43	40.90	19.73
0.28	3638.10	4523.30	9.36	26.90	42.04	2706.40	75.05	120.41	0.34	80.18	48.71	2635.40	28.17	50.30	3104.20	21.76	65.77	230.12	341.54	94.56	77.09	32.51	8.93	26.42	6.93	18.69	1.62	32.98	13.79	23.70	1.11	18.68	2.28	4.85	2.27	0.01	0.83	0.08	53.20	43.40	62.69	54.05	27.67	62.10	22.30	39.87	34.31	47.23	47.46	40.96	20.94
0.22	3658.20	4488.10	9.40	27.07	42.35	2706.90	75.25	120.41	0.33	80.17	49.03	2636.20	25.09	50.80	3103.60	23.77	65.73	231.48	341.72	94.72	77.25	32.47	8.92	26.31	6.80	18.59	1.67	33.32	13.93	23.63	1.22	18.70	2.23	4.86	2.42	0.01	0.83	0.08	53.20	43.40	62.59	54.46	21.77	59.48	22.47	39.48	35.24	48.37	47.34	40.82	16.16
0.22	3667.70	4558.20	9.30	26.79	42.39	2704.90	75.24	120.40	0.33	79.95	49.37	2633.70	25.74	49.96	3102.80	23.24	65.74	228.54	341.33	94.56	77.25	32.47	8.92	26.31	6.80	18.59	1.67	33.32	13.93	23.63	1.22	18.70	2.23	4.86	2.42	0.01	0.83	0.08	53.20	43.40	62.43	53.62	21.68	60.01	22.31	39.52	36.24	46.43	47.60	41.04	17.43
0.22	3679.20	4555.20	9.40	26.94	42.23	2707.10	75.63	120.38	0.35	80.15	50.05	2636.00	24.07	49.68	3103.60	23.40	65.71	231.24	341.91	94.65	77.26	32.03	8.81	25.88	6.80	18.61	1.70	33.12	13.81	24.32	1.39	18.63	2.29	4.85	2.26	0.01	0.83	0.08	53.20	43.40	63.42	53.92	21.92	59.21	22.44	40.86	38.24	45.78	47.36	40.80	17.04
0.22	3664.90	4539.90	9.37	26.75	42.59	2703.50	74.38	120.42	0.35	80.05	48.96	2632.20	24.20	48.86	3101.90	23.36	65.72	230.07	340.90	94.57	77.30	32.03	8.81	25.88	6.80	18.61	1.70	33.12	13.81	24.32	1.39	18.63	2.29	4.85	2.26	0.01	0.83	0.08	53.20	43.40	63.67	54.10	21.76	61.07	21.81	41.28	35.04	43.89	47.47	42.14	17.14
0.26	3668.40	4541.10	9.31	26.69	42.41	2703.20	74.99	120.39	0.34	79.96	51.44	2631.40	26.25	48.32	3102.00	22.40	65.68	231.27	340.98	94.55	77.08	32.01	8.85	26.25	6.94	18.73	1.67	33.44	13.82	23.65	1.23	18.51	2.27	4.86	2.25	0.02	0.83	0.10	53.93	43.79	63.67	54.08	25.86	60.90	21.64	39.63	42.35	42.64	47.34	40.97	19.44
0.26	3700.60	4516.00	9.33	27.19	42.77	2703.80	75.04	120.40	0.34	79.97	50.01	2632.50	26.21	50.70	3102.20	22.81	65.64	230.31	341.19	94.61	77.41	32.01	8.85	26.25	6.94	18.73	1.67	33.44	13.82	23.65	1.23	18.51	2.27	4.86	2.25	0.02	0.83	0.10	53.93	43.79	63.11	54.38	26.28	61.13	22.22	39.97	38.12	48.14	47.41	41.39	18.45
0.27	3658.10	4484.90	9.29	26.87	42.26	2706.20	75.16	120.38	0.34	80.26	51.33	2636.00	24.68	48.06	3102.70	23.09	65.69	230.50	341.50	94.40	77.61	32.32	8.79	26.40	6.95	18.50	1.70	32.50	13.77	23.85	1.16	19.02	2.26	4.87	2.34	0.02	0.83	0.10	53.93	43.79	62.69	54.47	26.32	61.39	22.39	40.02	42.02	42.04	47.39	40.78	17.77
0.27	3639.60	4537.00	9.36	26.98	42.61	2705.40	75.66	120.41	0.34	80.18	49.35	2634.40	24.38	49.28	3103.10	23.05	65.74	230.10	341.04	94.70	77.21	32.32	8.79	26.40	6.95	18.50	1.70	32.50	13.77	23.85	1.16	19.02	2.26	4.87	2.34	0.02	0.83	0.10	53.93	43.79	63.00	53.85	26.50	61.16	22.33	39.93	36.19	44.87	47.41	41.86	17.89
0.24	3637.20	4530.90	9.42	26.90	42.20	2705.50	74.07	120.36	0.33	80.13	49.34	2634.50	27.29	49.87	3102.50	22.41	65.75	229.81	341.31	94.53	77.23	31.63	8.90	26.39	6.94	19.07	1.64	32.71	13.82	23.73	1.24	18.38	2.24	4.79	2.32	0.02	0.83	0.10	53.93	43.79	62.85	54.52	23.19	61.28	22.10	39.29	36.15	46.24	47.42	40.62	19.40
0.24	3623.70	4575.60	9.26	26.88	42.41	2705.80	75.46	120.40	0.33	80.09	51.20	2633.40	24.87	50.41	3103.50	21.10	65.73	229.77	341.56	94.84	77.21	31.63	8.90	26.39	6.94	19.07	1.64	32.71	13.82	23.73	1.24	18.38	2.24	4.79	2.32	0.02	0.84	0.11	54.41	43.70	63.09	53.99	23.21	60.10	22.17	39.36	41.64	47.48	47.21	41.42	22.52
0.31	3659.90	4486.30	9.45	26.83	41.91	2706.10	76.60	120.41	0.34	80.04	48.80	2634.80	26.44	51.56	3103.60	22.99	65.70	227.96	341.30	94.52	77.03	32.31	9.00	26.67	6.99	18.71	1.62	33.05	14.02	24.03	1.26	18.92	2.24	4.87	2.31	0.02	0.84	0.11	54.41	43.70	62.50	53.65	30.15	60.21	22.00	40.02	34.56	50.15	47.28	40.69	18.04
0.31	3632.30	4457.40	9.23	27.09	42.19	2708.10	75.70	120.38	0.34	80.13	49.47	2638.00	25.30	49.87	3103.90	22.02	65.69	229.00	342.17	94.69	77.45	32.31	9.00	26.67	6.99	18.71	1.62	33.05	14.02	24.03	1.26	18.92	2.24	4.87	2.31	0.02	0.84	0.11	54.41	43.70	62.98	54.00	29.97	63.43	22.74	39.89	36.53	46.23	47.09	40.54	20.34
0.24	3616.90	4567.70	9.48	26.63	42.55	2706.30	74.89	120.40	0.36	80.04	49.11	2635.00	25.32	50.16	3102.70	22.52	65.68	227.43	341.35	94.67	77.08	31.99	8.67	26.61	6.98	18.55	1.66	33.40	13.87	24.02	1.35	18.37	2.23	4.82	2.30	0.02	0.84	0.11	54.41	43.70	62.74	53.53	24.16	59.59	22.13	42.73	35.48	46.90	47.13	41.11	19.16
0.24	3652.20	4512.70	9.35	26.65	42.40	2707.50	74.70	120.40	0.36	80.11	49.83	2636.10	23.60	48.80	3103.40	23.08	65.63	226.31	342.03	94.80	77.48	31.99	8.67	26.61	6.98	18.55	1.66	33.40	13.87	24.02	1.35	18.37	2.23	4.82	2.30	0.02	0.84	0.11	54.41	43.70	62.14	54.19	24.03	59.53	22.39	42.86	37.60	43.75	47.14	41.23	17.80
0.27	3635.50	4537.40	9.38	26.86	42.35	2708.40	75.64	120.40	0.34	80.15	51.79	2637.40	25.80	50.33	3105.10	22.04	65.64	227.62	341.75	94.57	77.21	32.06	8.89	26.24	6.84	19.19	1.61	33.29	13.80	23.93	1.06	18.50	2.29	4.91	2.27	0.03	0.84	0.09	53.22	43.92	62.43	54.32	26.94	60.87	22.36	40.97	43.38	47.31	47.16	40.76	20.29
0.27	3650.50	4499.20	9.34	26.86	42.33	2707.90	74.73	120.40	0.34	79.99	49.45	2637.10	26.05	50.01	3103.60	22.34	65.65	230.61	342.10	94.74	77.57	32.06	8.89	26.24	6.84	19.19	1.61	33.29	13.80	23.93	1.06	18.50	2.29	4.91	2.27	0.03	0.84	0.09	53.22	43.92	62.17	54.77	27.17	62.02	22.45	41.01	36.49	46.55	46.90	40.19	19.57
0.27	3678.50	4465.50	9.31	26.46	42.39	2710.30	74.58	120.44	0.34	80.21	51.23	2640.10	26.12	50.40	3106.10	22.99	65.67	229.89	342.38	94.57	77.48	32.31	8.80	26.71	6.78	18.71	1.65	33.11	13.88	24.08	1.26	18.88	2.26	4.86	2.32	0.03	0.84	0.09	53.22	43.92	62.82	53.60	26.62	60.81	22.68	40.08	41.71	47.46	46.96	41.52	18.00
0.27	3675.10	4514.90	9.38	27.08	42.47	2709.70	75.90	120.41	0.34	80.31	49.97	2640.00	25.34	50.78	3106.50	22.60	65.69	227.00	342.52	94.51	77.54	32.31	8.80	26.71	6.78	18.71	1.65	33.11	13.88	24.08	1.26	18.88	2.26	4.86	2.32	0.03	0.84	0.09	53.22	43.92	62.88	53.01	26.62	61.13	22.76	39.82	38.02	48.33	47.22	40.66	18.91
0.25	3664.50	4542.90	9.31	27.06	42.18	2707.40	74.26	120.44	0.34	80.10	49.64	2636.50	25.09	49.46	3105.00	22.59	65.71	228.08	342.00	94.62	77.17	32.20	8.73	26.36	6.80	18.62	1.69	32.93	13.77	23.82	1.21	18.37	2.24	4.71	2.27	0.03	0.84	0.09	53.22	43.92	63.68	53.83	24.08	59.44	22.53	41.01	37.05	45.29	47.13	41.07	18.94
0.25	3698.90	4484.80	9.39	26.55	42.19	2704.80	75.18	120.36	0.34	79.89	49.10	2633.40	24.27	48.73	3102.70	23.18	65.68	229.35	342.33	94.56	77.12	32.20	8.73	26.36	6.80	18.62	1.69	32.93	13.77	23.82	1.21	18.37	2.24	4.71	2.27	0.01	0.85	0.11	53.94	43.64	63.09	54.52	24.00	60.91	21.97	41.14	35.46	43.59	47.00	40.16	17.59
